,LAT,LON,SOG,COG
0,49.2991,-123.46484,48.3,285.86205328803095
1,49.29809220879902,-123.44440040616554,9.9,4.303784756150662
2,49.2994616198037,-123.44075801502215,47.8,330.10470177537405
3,49.31221836554365,-123.43518878777147,21.1,285.9303011951743
4,49.31703286480119,-123.43008949707807,49.3,304.6985186582731
5,49.31705176280396,-123.40915972214641,8.9,359.91292914324833
6,49.31938229432543,-123.40790763905447,5.2,289.35154828138417
7,49.319759960103,-123.4057768534796,17.8,344.8290276691669
8,49.322387416659694,-123.3993769612172,2.2,327.8667263187967
9,49.32264440903156,-123.39852963968183,16.1,335.1084964854578
