,LAT,LON,SOG,COG
10,49.30827813338772,-123.4063535322626,0.4,354.29012587986637
11,49.308354879462286,-123.4062308520661,37.3,316.2660903693854
12,49.313471343862744,-123.39246650945765,44.4,330.3751472481603
13,49.31963971641547,-123.37614868544904,46.0,329.9561084125985
14,49.32925285522747,-123.3632960112726,16.1,311.14571351431925
15,49.32942903428501,-123.3564645399053,47.9,357.7377570126524
16,49.332303023748615,-123.33660443031968,7.9,347.50734615972164
17,49.331839620058076,-123.33332533601231,32.7,12.200471602071488
18,49.331839620058076,-123.33332533601231,16.2,307.27175944967445
19,49.331926196580085,-123.3331593948449,21.8,321.3991446585864
