,LAT,LON,SOG,COG
90,49.42078609950671,-123.39456053064097,25.1,18.76371675711343
91,49.420839301213626,-123.3948909624975,9.6,13.864154605932981
92,49.421374019054596,-123.40147695978632,19.4,7.0969380604426675
93,49.421309712457095,-123.40232210724402,7.8,353.3474447521846
94,49.42182537555745,-123.40632910946928,13.4,11.161203878350378
95,49.42248404823641,-123.40975724488564,13.8,16.412982245734923
96,49.42251776077374,-123.41022237602729,18.5,6.340232069464292
97,49.422377065656526,-123.41579157099841,14.1,357.7843075455976
98,49.42260415744165,-123.42735853134751,25.5,1.7282674036981973
99,49.42300319857562,-123.43118150509767,11.1,9.092369186366994
